0.000	Inf
0.151	Inf
0.151	Inf
0.152	Inf
0.153	Inf
0.156	Inf
0.156	Inf
0.159	Inf
0.161	Inf
0.168	Inf
0.170	Inf
0.175	Inf
0.175	Inf
0.177	Inf
0.177	Inf
0.177	Inf
0.178	Inf
0.180	Inf
0.186	Inf
0.189	Inf
0.190	Inf
0.191	Inf
0.191	Inf
0.192	Inf
0.193	Inf
0.194	Inf
0.196	Inf
0.200	Inf
0.204	Inf
0.208	Inf
0.213	Inf
0.221	Inf
0.222	Inf
0.222	Inf
0.223	Inf
0.224	Inf
0.226	Inf
0.226	Inf
0.231	Inf
0.235	Inf
0.237	Inf
0.245	Inf
0.249	Inf
0.251	Inf
0.291	Inf
0.301	Inf
0.311	Inf
0.318	Inf
0.327	Inf
0.330	Inf
0.352	180.098
5.160	177.715
5.164	175.875
5.165	173.887
5.167	172.016
5.179	170.905
5.181	169.866
5.181	168.429
5.188	166.386
5.188	164.985
5.190	163.940
5.193	162.034
5.195	160.697
5.197	159.089
5.199	157.165
5.203	156.358
5.205	154.167
5.207	152.325
5.208	150.225
5.209	148.237
5.214	146.484
5.227	145.507
5.227	143.898
5.232	142.245
5.233	141.842
5.236	140.750
5.237	139.193
5.239	137.737
5.239	136.167
5.242	134.120
5.247	132.492
5.251	130.581
5.251	128.478
5.251	127.635
5.251	126.330
5.254	125.084
5.254	123.378
5.262	121.673
5.267	120.167
5.268	118.977
5.300	117.027
5.311	114.936
5.315	113.670
5.319	111.889
5.325	110.838
5.326	109.622
5.334	108.137
5.341	106.915
5.357	106.283
5.360	104.625
5.393	103.494
10.245	103.494
10.311	103.494
10.355	103.494
10.384	103.494
10.458	103.494
10.590	103.494
10.686	103.494
10.754	103.494
10.925	103.494
10.958	103.494
11.045	103.494
11.174	103.494
11.198	103.494
11.498	103.494
11.585	103.494
11.755	103.494
11.940	103.494
12.084	103.494
12.230	103.494
12.244	103.494
12.279	103.494
13.285	103.494
13.511	103.494
13.565	103.494
13.653	103.494
14.054	103.494
15.455	103.494
15.831	103.494
15.891	103.494
16.771	103.494
16.829	103.494
17.166	103.494
17.489	103.494
17.748	103.494
17.944	103.494
18.800	103.494
20.271	103.494
20.962	103.494
21.366	103.494
22.491	103.494
22.827	103.494
25.015	103.494
26.230	103.494
27.144	103.494
28.519	103.494
29.353	103.494
1200.000	103.494
